127.0.0.1 - - [17/May/2021:11:32:12 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [17/May/2021:11:32:14 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 8249
0:0:0:0:0:0:0:1 - - [17/May/2021:11:32:14 +0900] "GET /hoyaMall/js/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [17/May/2021:11:32:14 +0900] "GET /hoyaMall/images/%ED%8F%AC%EC%97%90%ED%8A%B8%EB%A6%AC%20%EA%B0%80%EB%93%A0.png HTTP/1.1" 200 22181
0:0:0:0:0:0:0:1 - - [17/May/2021:11:32:14 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC1.jpg HTTP/1.1" 200 471861
0:0:0:0:0:0:0:1 - - [17/May/2021:11:32:14 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/May/2021:11:32:22 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 9289
0:0:0:0:0:0:0:1 - - [17/May/2021:11:34:44 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 9305
0:0:0:0:0:0:0:1 - - [17/May/2021:11:34:45 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 9305
0:0:0:0:0:0:0:1 - - [17/May/2021:11:34:50 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 9305
0:0:0:0:0:0:0:1 - - [17/May/2021:11:34:57 +0900] "POST /hoyaMall/login_proc.login HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [17/May/2021:11:36:04 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 9751
0:0:0:0:0:0:0:1 - - [17/May/2021:11:36:07 +0900] "POST /hoyaMall/login_proc.login HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [17/May/2021:11:36:20 +0900] "POST /hoyaMall/login_proc.login HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [17/May/2021:11:42:59 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 8249
0:0:0:0:0:0:0:1 - - [17/May/2021:11:43:01 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 9751
0:0:0:0:0:0:0:1 - - [17/May/2021:11:43:04 +0900] "POST /hoyaMall/login_proc.login HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [17/May/2021:11:43:24 +0900] "POST /hoyaMall/login_proc.login HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [17/May/2021:11:46:34 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 8249
0:0:0:0:0:0:0:1 - - [17/May/2021:11:46:36 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 9751
0:0:0:0:0:0:0:1 - - [17/May/2021:11:46:41 +0900] "POST /hoyaMall/login_proc.login HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [17/May/2021:11:46:53 +0900] "POST /hoyaMall/login_proc.login HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [17/May/2021:11:51:10 +0900] "GET /hoyaMall HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2021:11:51:10 +0900] "GET /hoyaMall/ HTTP/1.1" 200 8249
0:0:0:0:0:0:0:1 - - [17/May/2021:11:51:12 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 9751
0:0:0:0:0:0:0:1 - - [17/May/2021:11:51:23 +0900] "POST /hoyaMall/login_proc.login HTTP/1.1" 200 62
