127.0.0.1 - - [27/Jul/2021:11:48:39 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Jul/2021:11:48:39 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 8271
0:0:0:0:0:0:0:1 - - [27/Jul/2021:11:48:39 +0900] "GET /hoyaMall/js/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [27/Jul/2021:11:48:40 +0900] "GET /hoyaMall/images/%ED%8F%AC%EC%97%90%ED%8A%B8%EB%A6%AC%20%EA%B0%80%EB%93%A0.png HTTP/1.1" 200 22181
0:0:0:0:0:0:0:1 - - [27/Jul/2021:11:48:40 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [27/Jul/2021:11:48:42 +0900] "GET /hoyaMall/join_view.join HTTP/1.1" 200 36563
0:0:0:0:0:0:0:1 - - [27/Jul/2021:11:48:49 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 27098
0:0:0:0:0:0:0:1 - - [27/Jul/2021:12:02:53 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 27734
0:0:0:0:0:0:0:1 - - [27/Jul/2021:12:03:06 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 27732
0:0:0:0:0:0:0:1 - - [27/Jul/2021:12:03:14 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 27114
0:0:0:0:0:0:0:1 - - [27/Jul/2021:12:03:53 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 27787
0:0:0:0:0:0:0:1 - - [27/Jul/2021:12:09:37 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 27859
0:0:0:0:0:0:0:1 - - [27/Jul/2021:12:11:18 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 28141
0:0:0:0:0:0:0:1 - - [27/Jul/2021:12:12:00 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 27859
0:0:0:0:0:0:0:1 - - [27/Jul/2021:13:35:09 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 27859
0:0:0:0:0:0:0:1 - - [27/Jul/2021:17:23:33 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 30395
0:0:0:0:0:0:0:1 - - [27/Jul/2021:17:23:33 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [27/Jul/2021:17:23:33 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [27/Jul/2021:17:23:33 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 30395
0:0:0:0:0:0:0:1 - - [27/Jul/2021:17:23:34 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 30395
0:0:0:0:0:0:0:1 - - [27/Jul/2021:17:25:45 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 30410
0:0:0:0:0:0:0:1 - - [27/Jul/2021:17:25:45 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [27/Jul/2021:17:25:45 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 30410
0:0:0:0:0:0:0:1 - - [27/Jul/2021:17:25:45 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 30410
0:0:0:0:0:0:0:1 - - [27/Jul/2021:17:25:45 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 30410
0:0:0:0:0:0:0:1 - - [27/Jul/2021:17:25:45 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 30410
0:0:0:0:0:0:0:1 - - [27/Jul/2021:17:25:47 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 9779
0:0:0:0:0:0:0:1 - - [27/Jul/2021:17:25:49 +0900] "GET /hoyaMall/join_view.join HTTP/1.1" 200 36563
0:0:0:0:0:0:0:1 - - [27/Jul/2021:17:25:55 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 30410
