127.0.0.1 - - [30/Aug/2021:10:32:08 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [30/Aug/2021:10:32:10 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 500 2857
0:0:0:0:0:0:0:1 - - [30/Aug/2021:10:32:10 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [30/Aug/2021:10:36:21 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 500 2857
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:03 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:03 +0900] "GET /hoyaMall/js/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:03 +0900] "GET /hoyaMall/images/%ED%8F%AC%EC%97%90%ED%8A%B8%EB%A6%AC%20%EA%B0%80%EB%93%A0.png HTTP/1.1" 200 22181
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:03 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC1.jpg HTTP/1.1" 200 471861
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:07 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:07 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:07 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:07 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:08 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:08 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:08 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:08 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:08 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:08 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:08 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:09 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:09 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:09 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:09 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:09 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:09 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:10 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:10 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
