127.0.0.1 - - [24/Nov/2021:20:45:26 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Nov/2021:20:45:27 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 500 9122
0:0:0:0:0:0:0:1 - - [24/Nov/2021:20:45:27 +0900] "GET /hoyaMall/js/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [24/Nov/2021:20:45:27 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [24/Nov/2021:20:47:41 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 13377
0:0:0:0:0:0:0:1 - - [24/Nov/2021:20:47:41 +0900] "GET /hoyaMall/images/close.png HTTP/1.1" 200 3858
0:0:0:0:0:0:0:1 - - [24/Nov/2021:20:47:41 +0900] "GET /hoyaMall/images/%ED%8F%AC%EC%97%90%ED%8A%B8%EB%A6%AC%20%EA%B0%80%EB%93%A0.png HTTP/1.1" 200 22181
0:0:0:0:0:0:0:1 - - [24/Nov/2021:20:47:41 +0900] "GET /hoyaMall/product/pdt_img/2101pdt0020.jpg HTTP/1.1" 200 76845
0:0:0:0:0:0:0:1 - - [24/Nov/2021:20:47:41 +0900] "GET /hoyaMall/product/pdt_img/2101pdt0014.jpg HTTP/1.1" 200 130325
0:0:0:0:0:0:0:1 - - [24/Nov/2021:20:47:41 +0900] "GET /hoyaMall/product/pdt_img/2101pdt0011.jpg HTTP/1.1" 200 178501
0:0:0:0:0:0:0:1 - - [24/Nov/2021:20:47:41 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC1.jpg HTTP/1.1" 200 241587
0:0:0:0:0:0:0:1 - - [24/Nov/2021:20:47:42 +0900] "GET /hoyaMall/images/hoya_deco.jpg HTTP/1.1" 200 104150
0:0:0:0:0:0:0:1 - - [24/Nov/2021:20:47:42 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC3.jpg HTTP/1.1" 200 321897
0:0:0:0:0:0:0:1 - - [24/Nov/2021:20:47:45 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC2.jpg HTTP/1.1" 200 303064
